"the_date","the_sentence","Revision","newtext"
1986-03-05,"Will the Secretary of State confirm that the bid from General Motors includes a substantial sum for the immediate declaration of 1,000 redundancies in BL and that GM is on public record as saying that 1,000 people will lose their jobs almost on the day that it takes over BL","Future","Will the Secretary of State confirm that the bid from General Motors includes a substantial sum for the immediate declaration of 1,000 redundancies in BL and that GM is on public record as saying that 1,000 people will lose their jobs almost on the day that it takes over BL"
1992-06-19,"We used to reuse an awful lot more of our vessels for liquids, in particular, than we do now.","Past","We used to reuse an awful lot more of our vessels for liquids, in particular, than we do now."
2012-10-16,"We have looked at it and, as he knows—we have discussed it—we have concerns about the danger of such a model of recall becoming a kangaroo-court process.","Present","We have looked at it and, as he knows—we have discussed it—we have concerns about the danger of such a model of recall becoming a kangaroo-court process."
1983-04-29,"It expects its subsidiaries to do their own selling and to offer prices that reflect their strength.","Present","It expects its subsidiaries to do their own selling and to offer prices that reflect their strength."
2000-06-19,"It was not done to improve the standing of the second Chamber or the processes of government.","Past","It was not done to improve the standing of the second Chamber or the processes of government."
2012-02-06,"We should reflect on the fact that the one industry growing in this country is these legal loan sharks.","Present","We should reflect on the fact that the one industry growing in this country is these legal loan sharks."
1998-07-24,"As many as are of that opinion say, ""Aye"".","Present","As many as are of that opinion say, ""Aye""."
1998-04-01,"With the leave of the House—","Present","With the leave of the House—"
1997-03-03,"I refer especially to the two forts in Tilbury in my constituency, one of which is owned by English Heritage while the other is managed by the local authority.","Present","I refer especially to the two forts in Tilbury in my constituency, one of which is owned by English Heritage while the other is managed by the local authority."
1980-11-10,"When I worked in those studios for a short time before I came to the House the accommodation was inadequate, and it still is.","Past","When I worked in those studios for a short time before I came to the House the accommodation was inadequate, and it still is."
